id,coordinates,total,Lëvizja Bashkë (votes),Fronti i Majtë (votes),"Partia Drejtësi, Integrim dhe Unitet (votes)",Partia Socialiste e Shqipërisë (votes),Bashkë Fitojmë (votes),Partia Demokratike (votes),Lëvizja Bashkë (%),Fronti i Majtë (%),"Partia Drejtësi, Integrim dhe Unitet (%)",Partia Socialiste e Shqipërisë (%),Bashkë Fitojmë (%),Partia Demokratike (%)
1,"41.349075556228485,19.744852484429643",581,14,9,4,325,214,15,2.41,1.55,0.69,55.94,36.83,2.58
2,"41.31712098674056,19.788979160315268",483,14,9,2,287,146,25,2.9,1.86,0.41,59.42,30.23,5.18
3,"41.35017241324126,19.86288566818832",7629,410,81,47,3979,2765,347,5.37,1.06,0.62,52.16,36.24,4.55
4,"41.33217435197746,19.817187783531875",620,21,14,2,305,248,30,3.39,2.26,0.32,49.19,40.0,4.84
5,"41.32651076668575,19.81167074305652",3002,146,14,22,1481,1213,126,4.86,0.47,0.73,49.33,40.41,4.2
6,"41.338106425573905,19.79829868538484",639,27,3,5,340,242,22,4.23,0.47,0.78,53.21,37.87,3.44
7,"41.34132480887542,20.070668930347278",319,14,17,1,205,72,10,4.39,5.33,0.31,64.26,22.57,3.13
8,"41.32884918719742,19.82849422400696",1563,82,5,20,716,672,68,5.25,0.32,1.28,45.81,42.99,4.35
9,"41.35390260467086,19.851023297885952",264,4,5,1,159,84,11,1.52,1.89,0.38,60.23,31.82,4.17
10,"41.31301176033844,19.765597883531026",588,23,4,0,319,236,6,3.91,0.68,0.0,54.25,40.14,1.02
11,"41.334263354754654,19.85974345469594",441,21,6,4,296,103,11,4.76,1.36,0.91,67.12,23.36,2.49
12,"41.21775548997649,19.969805138534674",220,4,12,3,161,35,5,1.82,5.45,1.36,73.18,15.91,2.27
13,"41.326608207977685,19.797783397023345",2248,119,9,16,1247,717,140,5.29,0.4,0.71,55.47,31.9,6.23
14,"41.35033334285198,19.826784514221533",1374,61,18,11,671,553,60,4.44,1.31,0.8,48.84,40.25,4.37
15,"41.31950066929056,19.832505868186924",2933,165,17,17,1314,1281,139,5.63,0.58,0.58,44.8,43.68,4.74
16,"41.34090208811277,19.786910400729276",741,24,6,4,321,345,41,3.24,0.81,0.54,43.32,46.56,5.53
17,"41.33128204632195,19.831134479236173",1733,95,7,31,826,707,67,5.48,0.4,1.79,47.66,40.8,3.87
18,"41.32187057621054,19.825309300728446",413,30,0,3,186,180,14,7.26,0.0,0.73,45.04,43.58,3.39
19,"41.33120488716527,19.83938366210645",390,24,6,4,223,118,15,6.15,1.54,1.03,57.18,30.26,3.85
20,"41.338551926729686,19.80597513564625",2465,124,10,16,1128,1072,115,5.03,0.41,0.65,45.76,43.49,4.67
21,"41.34117166960108,19.79432177004055",955,47,6,3,434,431,34,4.92,0.63,0.31,45.45,45.13,3.56
22,"41.33116460549364,19.839330017925963",3594,202,18,36,1945,1238,155,5.62,0.5,1.0,54.12,34.45,4.31
23,"41.34895838672484,19.84059473262672",785,39,13,4,376,318,35,4.97,1.66,0.51,47.9,40.51,4.46
24,"41.3374230386394,19.832760639351672",689,30,4,4,408,228,15,4.35,0.58,0.58,59.22,33.09,2.18
