id,coordinates,Lëvizja Bashkë (abs diff),Lëvizja Bashkë (rel change %),Koalicioni Euroatlantik (abs diff),Koalicioni Euroatlantik (rel change %),Partia Socialiste (abs diff),Partia Socialiste (rel change %),Partia Demokratike (abs diff),Partia Demokratike (rel change %)
1,"41.349075556228485,19.744852484429643",-1.78,-73.86,-0.05,-1.94,-0.88,-1.57,-1.07,-2.91
2,"41.31712098674056,19.788979160315268",-1.12,-38.62,-3.4,-65.64,-2.38,-4.01,1.14,3.77
3,"41.35017241324126,19.86288566818832",-1.73,-32.22,-3.27,-71.87,-4.6,-8.82,-4.88,-13.47
4,"41.33217435197746,19.817187783531875",-2.34,-69.03,-2.93,-60.54,-11.24,-22.85,13.35,33.38
5,"41.32651076668575,19.81167074305652",-0.94,-19.34,-2.48,-59.05,-3.29,-6.67,-5.76,-14.25
6,"41.338106425573905,19.79829868538484",-0.64,-15.13,-1.64,-47.67,-2.66,-5.0,-6.65,-17.56
7,"41.34132480887542,20.070668930347278",-4.39,-100.0,-2.79,-89.14,-13.58,-21.13,0.74,3.28
8,"41.32884918719742,19.82849422400696",-0.93,-17.71,-2.36,-54.25,-0.68,-1.48,-9.38,-21.82
9,"41.35390260467086,19.851023297885952",0.81,53.29,-3.3,-79.14,-10.38,-17.23,-0.04,-0.13
10,"41.31301176033844,19.765597883531026",-1.72,-43.99,0.81,79.41,-2.7,-4.98,-9.06,-22.57
11,"41.334263354754654,19.85974345469594",-2.88,-60.5,-1.23,-49.4,-8.96,-13.35,-8.09,-34.63
12,"41.21775548997649,19.969805138534674",1.08,59.34,-0.2,-8.81,-3.06,-4.18,-3.88,-24.39
13,"41.326608207977685,19.797783397023345",-1.08,-20.42,-4.16,-66.77,-7.11,-12.82,-1.79,-5.61
14,"41.35033334285198,19.826784514221533",-2.63,-59.23,-3.27,-74.83,-9.12,-18.67,2.96,7.35
15,"41.31950066929056,19.832505868186924",-2.58,-45.83,-3.25,-68.57,-1.52,-3.39,-4.36,-9.98
16,"41.34090208811277,19.786910400729276",-0.31,-9.57,-2.47,-44.67,-8.48,-19.58,2.34,5.03
17,"41.33128204632195,19.831134479236173",-1.38,-25.18,-1.48,-38.24,-5.24,-10.99,-5.55,-13.6
18,"41.32187057621054,19.825309300728446",-2.5,-34.44,-1.01,-29.79,-1.39,-3.09,-6.68,-15.33
19,"41.33120488716527,19.83938366210645",-4.08,-66.34,-3.62,-94.03,-6.95,-12.15,-3.3,-10.91
20,"41.338551926729686,19.80597513564625",-1.85,-36.78,-3.05,-65.31,-0.85,-1.86,-8.15,-18.74
21,"41.34117166960108,19.79432177004055",-3.15,-64.02,-1.23,-34.55,-2.94,-6.47,-1.22,-2.7
22,"41.33116460549364,19.839330017925963",-2.45,-43.59,-2.27,-52.67,-7.27,-13.43,-4.58,-13.29
23,"41.34895838672484,19.84059473262672",-3.59,-72.23,-1.7,-38.12,-7.51,-15.68,5.52,13.63
24,"41.3374230386394,19.832760639351672",-2.64,-60.69,-0.75,-34.4,-7.58,-12.8,0.01,0.03
25,"41.323770700582074,19.809674043543293",-2.81,-38.44,-2.39,-60.81,-2.17,-4.37,-8.49,-22.28
26,"41.331108211111506,19.83929783141767",-0.78,-15.38,-3.89,-81.55,-5.44,-11.52,-7.16,-17.51
27,"41.33830086106026,19.80199644440151",0.25,10.37,-2.87,-59.42,-10.35,-20.01,1.17,2.9
28,"41.322755648811345,19.80028634543204",-3.64,-45.33,-3.41,-76.29,-5.47,-10.4,-3.21,-9.5
29,"41.319423847595694,19.79690693194013",-2.43,-36.38,-1.5,-57.25,-5.27,-9.92,-0.9,-2.49
30,"41.35979637310057,19.77795258215786",-0.89,-28.71,-1.2,-30.3,-14.95,-22.44,3.35,13.8
31,"41.3456666623681,19.835946368188115",-2.2,-53.27,-2.5,-65.96,-3.11,-6.93,-2.07,-4.53
32,"41.3448777563064,19.83710701236862",-3.71,-61.94,-2.44,-64.72,-6.61,-10.28,1.67,6.97
33,"41.317333597947886,19.815618277792545",-1.27,-20.58,-3.75,-70.22,-4.67,-8.89,-6.62,-19.18
34,"41.324011344907525,19.83139381236762",-2.31,-34.27,-2.73,-66.1,-3.85,-7.58,-3.38,-9.44
35,"41.335042093872964,19.819909853731474",-3.74,-58.35,-1.71,-50.0,-0.72,-1.43,-3.22,-8.37
36,"41.31955620929523,19.85711291813247",-1.71,-29.18,-3.98,-75.67,-1.43,-3.11,-3.22,-7.97
37,"41.321926978588486,19.825159097023086",-1.71,-23.82,-2.06,-55.98,-2.63,-4.84,-3.71,-11.01
38,"41.32207807819627,19.829843197023063",-1.31,-17.8,-3.25,-57.42,0.74,1.49,-5.14,-14.59
39,"41.32494774224665,19.83098272771209",-1.03,-13.19,-5.95,-97.7,-0.42,-0.76,-1.0,-3.72
40,"41.33921613467219,19.781812259635448",0.57,25.33,-1.01,-34.95,-3.22,-7.88,-6.31,-12.26
41,"41.32468518574623,19.815966656548134",-2.61,-46.52,-1.89,-57.1,-1.25,-2.37,-4.41,-11.92
42,"41.346154270169016,19.83814584305742",-1.98,-42.22,-2.15,-38.19,-7.57,-14.02,-0.03,-0.09
43,"41.316906449745346,19.802416583531173",-2.59,-39.01,-2.95,-66.44,-2.65,-4.99,-5.54,-15.96
44,"41.34611076126924,19.783146870040845",-1.64,-68.05,-6.36,-86.06,-3.5,-7.95,3.52,7.91
45,"41.32862571786568,19.802051070040104",-1.6,-31.01,-2.86,-63.41,-5.05,-9.65,-1.19,-3.23
46,"41.33309480066657,19.81890499702362",-1.42,-22.5,-3.01,-64.18,-6.16,-11.45,-1.39,-4.16
47,"41.34816463085902,19.836698717210528",-2.18,-50.58,-2.7,-71.62,-11.6,-18.47,0.24,0.86
48,"41.30090693267829,19.86492381236657",-1.87,-70.83,-1.91,-59.87,-19.03,-35.45,15.37,39.3
49,"41.319831999548335,19.8163724835313",-3.87,-53.38,-2.11,-52.88,-3.68,-7.03,-4.3,-12.21
50,"41.324772156906214,19.803370156548183",-2.07,-27.82,-4.86,-74.88,-4.68,-10.71,-4.25,-10.41
51,"41.1807142182885,19.838200760246945",1.0,23.47,0.1,3.69,-2.96,-4.86,-3.85,-13.07
52,"41.322441619816274,19.825045714220217",-2.25,-44.55,-2.14,-60.45,0.18,0.42,-5.6,-11.67
53,"41.32697933797586,19.77118629702335",-0.2,-3.95,-2.51,-65.88,-6.73,-11.37,-5.55,-18.39
54,"41.339565888098704,19.844689744909804",-1.91,-45.26,-2.12,-60.57,-7.18,-12.31,-4.3,-13.24
55,"41.33437493913056,19.822003340681217",-0.87,-17.76,-2.23,-73.36,-8.86,-15.07,-0.38,-1.17
56,"41.312040623750136,19.76938885767417",1.76,195.56,-2.41,-76.03,-7.89,-13.95,-4.69,-12.05
