njesi,qv,total,Lëvizja Bashkë (votes),Fronti i Majtë (votes),"Partia Drejtësi, Integrim dhe Unitet (votes)",Partia Socialiste e Shqipërisë (votes),Bashkë Fitojmë (votes),Partia Demokratike (votes),Lëvizja Bashkë (%),Fronti i Majtë (%),"Partia Drejtësi, Integrim dhe Unitet (%)",Partia Socialiste e Shqipërisë (%),Bashkë Fitojmë (%),Partia Demokratike (%)
Baldushk,2064/00,264,9,12,1,178,55,9,3.41,4.55,0.38,67.42,20.83,3.41
Baldushk,2066/00,148,3,4,0,108,29,4,2.03,2.7,0.0,72.97,19.59,2.7
Baldushk,2069/00,532,4,3,2,358,156,9,0.75,0.56,0.38,67.29,29.32,1.69
Baldushk,2071/00,389,5,14,1,284,76,9,1.29,3.6,0.26,73.01,19.54,2.31
Baldushk,2073/00,359,2,11,4,242,89,11,0.56,3.06,1.11,67.41,24.79,3.06
Baldushk,2074/00,244,5,5,3,153,76,2,2.05,2.05,1.23,62.7,31.15,0.82
Baldushk,2076/00,258,11,6,1,157,76,7,4.26,2.33,0.39,60.85,29.46,2.71
Kashar,1529/00,377,23,0,3,222,114,15,6.1,0.0,0.8,58.89,30.24,3.98
Kashar,1529/01,407,24,4,1,219,142,17,5.9,0.98,0.25,53.81,34.89,4.18
Kashar,1529/02,422,14,10,3,273,108,14,3.32,2.37,0.71,64.69,25.59,3.32
Kashar,1530/00,259,11,2,1,153,87,5,4.25,0.77,0.39,59.07,33.59,1.93
Kashar,1530/01,279,14,4,1,164,87,9,5.02,1.43,0.36,58.78,31.18,3.23
Kashar,1531/00,312,6,0,1,185,110,10,1.92,0.0,0.32,59.29,35.26,3.21
Kashar,1531/01,292,7,4,0,116,157,8,2.4,1.37,0.0,39.73,53.77,2.74
Kashar,1532/00,351,2,5,0,183,147,14,0.57,1.42,0.0,52.14,41.88,3.99
Kashar,1532/01,328,4,4,0,149,164,7,1.22,1.22,0.0,45.43,50.0,2.13
Kashar,1533/00,364,7,9,1,175,164,8,1.92,2.47,0.27,48.08,45.05,2.2
Kashar,1533/01,247,4,4,1,110,117,11,1.62,1.62,0.4,44.53,47.37,4.45
Kashar,1534/00,313,14,6,1,165,115,12,4.47,1.92,0.32,52.72,36.74,3.83
Kashar,1535/00,227,11,5,1,120,81,9,4.85,2.2,0.44,52.86,35.68,3.96
Kashar,1536/00,384,18,5,2,215,129,15,4.69,1.3,0.52,55.99,33.59,3.91
Kashar,1536/01,413,15,5,3,242,120,28,3.63,1.21,0.73,58.6,29.06,6.78
Kashar,1536/02,423,24,2,3,276,111,7,5.67,0.47,0.71,65.25,26.24,1.65
Kashar,1536/03,401,15,10,3,250,109,14,3.74,2.49,0.75,62.34,27.18,3.49
Kashar,1537/00,437,25,2,1,221,176,12,5.72,0.46,0.23,50.57,40.27,2.75
Kashar,1537/01,434,14,3,6,262,134,15,3.23,0.69,1.38,60.37,30.88,3.46
Kashar,1537/02,423,27,5,0,205,163,23,6.38,1.18,0.0,48.46,38.53,5.44
Kashar,1537/03,424,25,3,3,232,144,17,5.9,0.71,0.71,54.72,33.96,4.01
Kashar,1537/04,489,18,0,2,303,151,15,3.68,0.0,0.41,61.96,30.88,3.07
Kashar,1537/05,431,33,6,1,233,142,16,7.66,1.39,0.23,54.06,32.95,3.71
Kashar,1537/06,441,26,5,2,255,140,13,5.9,1.13,0.45,57.82,31.75,2.95
Kashar,1537/07,412,31,2,5,219,134,21,7.52,0.49,1.21,53.16,32.52,5.1
Kashar,1537/08,411,16,2,3,193,169,28,3.89,0.49,0.73,46.96,41.12,6.81
Kashar,1537/09,452,24,2,4,253,151,18,5.31,0.44,0.88,55.97,33.41,3.98
Kashar,1537/10,461,17,2,3,250,172,17,3.69,0.43,0.65,54.23,37.31,3.69
Kashar,1537/11,478,18,3,3,272,165,17,3.77,0.63,0.63,56.9,34.52,3.56
Kashar,1537/12,417,29,1,2,211,161,13,6.95,0.24,0.48,50.6,38.61,3.12
Kashar,1537/13,437,26,6,3,211,167,24,5.95,1.37,0.69,48.28,38.22,5.49
Kashar,1537/14,457,32,4,0,249,149,23,7.0,0.88,0.0,54.49,32.6,5.03
Kashar,1537/15,446,23,4,3,242,158,16,5.16,0.9,0.67,54.26,35.43,3.59
Kashar,1537/16,434,21,1,6,243,142,21,4.84,0.23,1.38,55.99,32.72,4.84
Kashar,1537/17,416,17,3,2,225,161,8,4.09,0.72,0.48,54.09,38.7,1.92
Kashar,1537/18,421,17,3,1,236,142,22,4.04,0.71,0.24,56.06,33.73,5.23
Kashar,1537/19,418,20,6,0,217,155,20,4.78,1.44,0.0,51.91,37.08,4.78
Kashar,1537/20,412,26,4,1,256,114,11,6.31,0.97,0.24,62.14,27.67,2.67
Kashar,1538/00,376,33,3,1,196,132,11,8.78,0.8,0.27,52.13,35.11,2.93
Kashar,1538/01,315,25,1,2,157,119,11,7.94,0.32,0.63,49.84,37.78,3.49
Kashar,1538/02,389,15,2,1,233,124,14,3.86,0.51,0.26,59.9,31.88,3.6
Kashar,1539/00,310,19,6,1,163,114,7,6.13,1.94,0.32,52.58,36.77,2.26
Kashar,1539/01,357,10,3,3,220,107,14,2.8,0.84,0.84,61.62,29.97,3.92
Kashar,1539/02,373,15,13,1,193,139,12,4.02,3.49,0.27,51.74,37.27,3.22
