njesi,qv,total,Koalicioni Partia Demokratike - Aleanca për Shqipërinë Madhështore (votes),Lëvizja Bashkë (votes),Lëvizja Atdheu (votes),Partia Koalicioni Euroatlantik (votes),Partia Socialiste e Shqipërisë (votes),Koalicioni Nisma Shqipëria Bëhet (votes),Partia Aleanca Kombëtare Shqiptare (votes),Partia Aleanca Demokracia e Re (votes),Koalicioni Djathtas për Zhvillim (votes),Partia Mundësia (votes),Partia Socialdemokrate (votes),Koalicioni Partia Demokratike - Aleanca për Shqipërinë Madhështore (%),Lëvizja Bashkë (%),Lëvizja Atdheu (%),Partia Koalicioni Euroatlantik (%),Partia Socialiste e Shqipërisë (%),Koalicioni Nisma Shqipëria Bëhet (%),Partia Aleanca Kombëtare Shqiptare (%),Partia Aleanca Demokracia e Re (%),Koalicioni Djathtas për Zhvillim (%),Partia Mundësia (%),Partia Socialdemokrate (%)
Baldushk,2064/00,303,128,1,0,11,152,6,0,0,0,2,3,42.24,0.33,0.0,3.63,50.17,1.98,0.0,0.0,0.0,0.66,0.99
Baldushk,2066/00,174,52,0,0,2,120,0,0,0,0,0,0,29.89,0.0,0.0,1.15,68.97,0.0,0.0,0.0,0.0,0.0,0.0
Baldushk,2069/00,618,185,3,1,25,358,14,2,0,0,7,23,29.94,0.49,0.16,4.05,57.93,2.27,0.32,0.0,0.0,1.13,3.72
Baldushk,2071/00,431,116,7,0,11,272,6,1,0,2,6,10,26.91,1.62,0.0,2.55,63.11,1.39,0.23,0.0,0.46,1.39,2.32
Baldushk,2073/00,379,150,0,0,0,211,0,0,0,0,5,13,39.58,0.0,0.0,0.0,55.67,0.0,0.0,0.0,0.0,1.32,3.43
Baldushk,2074/00,236,101,2,0,0,127,2,0,0,0,3,1,42.8,0.85,0.0,0.0,53.81,0.85,0.0,0.0,0.0,1.27,0.42
Baldushk,2076/00,285,73,15,0,8,165,13,0,0,0,11,0,25.61,5.26,0.0,2.81,57.89,4.56,0.0,0.0,0.0,3.86,0.0
Bërzhitë,1602/00,311,66,7,0,2,195,13,1,0,1,11,15,21.22,2.25,0.0,0.64,62.7,4.18,0.32,0.0,0.32,3.54,4.82
Bërzhitë,1603/00,207,33,2,1,0,151,4,0,0,2,2,12,15.94,0.97,0.48,0.0,72.95,1.93,0.0,0.0,0.97,0.97,5.8
Bërzhitë,1606/00,316,122,1,0,6,159,5,1,0,1,9,12,38.61,0.32,0.0,1.9,50.32,1.58,0.32,0.0,0.32,2.85,3.8
Bërzhitë,1606/01,300,78,2,1,1,203,7,0,0,0,1,7,26.0,0.67,0.33,0.33,67.67,2.33,0.0,0.0,0.0,0.33,2.33
Bërzhitë,1607/00,521,61,8,0,21,379,14,1,1,2,9,25,11.71,1.54,0.0,4.03,72.74,2.69,0.19,0.19,0.38,1.73,4.8
Bërzhitë,1608/00,264,49,2,0,1,182,5,3,0,2,12,8,18.56,0.76,0.0,0.38,68.94,1.89,1.14,0.0,0.76,4.55,3.03
Bërzhitë,1608/01,241,32,4,1,5,176,9,0,0,0,4,10,13.28,1.66,0.41,2.07,73.03,3.73,0.0,0.0,0.0,1.66,4.15
Bërzhitë,1609/00,224,39,0,1,0,173,3,0,0,0,3,5,17.41,0.0,0.45,0.0,77.23,1.34,0.0,0.0,0.0,1.34,2.23
Bërzhitë,1612/00,275,51,1,1,3,189,3,0,0,2,6,19,18.55,0.36,0.36,1.09,68.73,1.09,0.0,0.0,0.73,2.18,6.91
Dajt,1615/00,524,183,14,0,4,236,21,4,0,10,32,20,34.92,2.67,0.0,0.76,45.04,4.01,0.76,0.0,1.91,6.11,3.82
Dajt,1615/01,570,182,25,1,8,256,40,1,0,3,32,22,31.93,4.39,0.18,1.4,44.91,7.02,0.18,0.0,0.53,5.61,3.86
Dajt,1615/02,532,177,19,0,8,242,28,1,0,2,29,26,33.27,3.57,0.0,1.5,45.49,5.26,0.19,0.0,0.38,5.45,4.89
Dajt,1615/03,538,210,30,0,3,224,14,1,0,0,38,18,39.03,5.58,0.0,0.56,41.64,2.6,0.19,0.0,0.0,7.06,3.35
Dajt,1615/04,531,164,13,2,4,248,27,2,0,2,41,28,30.89,2.45,0.38,0.75,46.7,5.08,0.38,0.0,0.38,7.72,5.27
Dajt,1615/05,477,142,13,0,6,230,28,3,1,2,35,17,29.77,2.73,0.0,1.26,48.22,5.87,0.63,0.21,0.42,7.34,3.56
Dajt,1615/06,532,172,20,4,6,249,25,3,2,1,27,23,32.33,3.76,0.75,1.13,46.8,4.7,0.56,0.38,0.19,5.08,4.32
Dajt,1615/07,526,158,19,2,8,257,28,2,1,0,30,21,30.04,3.61,0.38,1.52,48.86,5.32,0.38,0.19,0.0,5.7,3.99
Dajt,1615/08,492,154,18,2,2,241,27,0,2,0,33,13,31.3,3.66,0.41,0.41,48.98,5.49,0.0,0.41,0.0,6.71,2.64
Dajt,1615/09,526,157,25,0,10,250,18,0,0,1,37,28,29.85,4.75,0.0,1.9,47.53,3.42,0.0,0.0,0.19,7.03,5.32
Dajt,1615/10,502,148,21,0,12,218,23,0,0,5,34,41,29.48,4.18,0.0,2.39,43.43,4.58,0.0,0.0,1.0,6.77,8.17
Dajt,1615/11,504,133,21,0,7,249,22,0,0,3,44,25,26.39,4.17,0.0,1.39,49.4,4.37,0.0,0.0,0.6,8.73,4.96
Dajt,1615/12,515,131,29,0,6,254,29,1,1,1,41,22,25.44,5.63,0.0,1.17,49.32,5.63,0.19,0.19,0.19,7.96,4.27
Dajt,1615/13,524,132,15,2,10,290,15,0,0,2,23,35,25.19,2.86,0.38,1.91,55.34,2.86,0.0,0.0,0.38,4.39,6.68
Dajt,1615/14,548,175,9,3,11,262,11,1,0,4,32,40,31.93,1.64,0.55,2.01,47.81,2.01,0.18,0.0,0.73,5.84,7.3
Dajt,1616/00,332,124,6,0,12,158,7,0,0,1,15,9,37.35,1.81,0.0,3.61,47.59,2.11,0.0,0.0,0.3,4.52,2.71
Dajt,1616/01,343,109,0,1,8,184,13,0,0,1,5,22,31.78,0.0,0.29,2.33,53.64,3.79,0.0,0.0,0.29,1.46,6.41
Dajt,1617/00,345,141,4,0,10,159,2,0,0,0,8,21,40.87,1.16,0.0,2.9,46.09,0.58,0.0,0.0,0.0,2.32,6.09
Dajt,1617/01,359,164,3,0,19,138,7,0,0,2,6,20,45.68,0.84,0.0,5.29,38.44,1.95,0.0,0.0,0.56,1.67,5.57
Dajt,1618/00,227,68,2,0,3,129,2,0,0,0,8,15,29.96,0.88,0.0,1.32,56.83,0.88,0.0,0.0,0.0,3.52,6.61
Dajt,1619/00,219,84,0,0,7,100,3,2,1,0,10,12,38.36,0.0,0.0,3.2,45.66,1.37,0.91,0.46,0.0,4.57,5.48
Dajt,1621/00,155,28,2,0,0,97,8,0,0,0,4,16,18.06,1.29,0.0,0.0,62.58,5.16,0.0,0.0,0.0,2.58,10.32
Dajt,1624/00,174,32,0,0,0,106,4,0,0,0,1,31,18.39,0.0,0.0,0.0,60.92,2.3,0.0,0.0,0.0,0.57,17.82
Dajt,1625/00,325,64,1,0,19,202,7,0,0,0,4,28,19.69,0.31,0.0,5.85,62.15,2.15,0.0,0.0,0.0,1.23,8.62
Dajt,1625/01,259,56,2,0,3,165,1,0,3,0,7,22,21.62,0.77,0.0,1.16,63.71,0.39,0.0,1.16,0.0,2.7,8.49
Dajt,1626/00,576,99,4,1,8,309,10,2,1,1,7,134,17.19,0.69,0.17,1.39,53.65,1.74,0.35,0.17,0.17,1.22,23.26
Dajt,1627/00,356,127,4,1,6,150,4,1,0,1,12,50,35.67,1.12,0.28,1.69,42.13,1.12,0.28,0.0,0.28,3.37,14.04
Dajt,1627/01,421,145,5,0,5,186,10,2,0,3,9,56,34.44,1.19,0.0,1.19,44.18,2.38,0.48,0.0,0.71,2.14,13.3
Dajt,1627/02,420,153,8,1,19,187,8,1,1,0,5,37,36.43,1.9,0.24,4.52,44.52,1.9,0.24,0.24,0.0,1.19,8.81
Dajt,1628/00,400,114,6,1,6,205,13,0,0,2,17,36,28.5,1.5,0.25,1.5,51.25,3.25,0.0,0.0,0.5,4.25,9.0
Farkë,2077/00,446,132,11,0,3,259,5,1,1,2,11,21,29.6,2.47,0.0,0.67,58.07,1.12,0.22,0.22,0.45,2.47,4.71
Farkë,2077/01,446,166,3,1,4,234,3,3,3,2,10,17,37.22,0.67,0.22,0.9,52.47,0.67,0.67,0.67,0.45,2.24,3.81
Farkë,2078/00,592,231,6,0,6,304,15,2,2,1,10,15,39.02,1.01,0.0,1.01,51.35,2.53,0.34,0.34,0.17,1.69,2.53
Farkë,2079/00,370,209,4,0,2,115,6,1,0,7,16,10,56.49,1.08,0.0,0.54,31.08,1.62,0.27,0.0,1.89,4.32,2.7
Farkë,2079/01,412,217,2,1,8,156,8,1,0,0,8,11,52.67,0.49,0.24,1.94,37.86,1.94,0.24,0.0,0.0,1.94,2.67
