id,coordinates,total,Koalicioni Partia Demokratike - Aleanca për Shqipërinë Madhështore (votes),Lëvizja Bashkë (votes),Lëvizja Atdheu (votes),Partia Koalicioni Euroatlantik (votes),Partia Socialiste e Shqipërisë (votes),Koalicioni Nisma Shqipëria Bëhet (votes),Partia Aleanca Kombëtare Shqiptare (votes),Partia Aleanca Demokracia e Re (votes),Koalicioni Djathtas për Zhvillim (votes),Partia Mundësia (votes),Partia Socialdemokrate (votes),Koalicioni Partia Demokratike - Aleanca për Shqipërinë Madhështore (%),Lëvizja Bashkë (%),Lëvizja Atdheu (%),Partia Koalicioni Euroatlantik (%),Partia Socialiste e Shqipërisë (%),Koalicioni Nisma Shqipëria Bëhet (%),Partia Aleanca Kombëtare Shqiptare (%),Partia Aleanca Demokracia e Re (%),Koalicioni Djathtas për Zhvillim (%),Partia Mundësia (%),Partia Socialdemokrate (%)
1,"41.349075556228485,19.744852484429643",632,226,4,1,16,348,10,0,0,0,16,11,35.76,0.63,0.16,2.53,55.06,1.58,0.0,0.0,0.0,2.53,1.74
2,"41.31712098674056,19.788979160315268",561,176,10,0,10,320,12,1,0,1,19,12,31.37,1.78,0.0,1.78,57.04,2.14,0.18,0.0,0.18,3.39,2.14
3,"41.35017241324126,19.86288566818832",10176,3191,370,28,130,4840,423,28,8,43,634,481,31.36,3.64,0.28,1.28,47.56,4.16,0.28,0.08,0.42,6.23,4.73
4,"41.33217435197746,19.817187783531875",1046,558,11,0,20,397,17,0,1,1,21,20,53.35,1.05,0.0,1.91,37.95,1.63,0.0,0.1,0.1,2.01,1.91
5,"41.32651076668575,19.81167074305652",3319,1150,130,9,57,1528,107,3,2,24,242,67,34.65,3.92,0.27,1.72,46.04,3.22,0.09,0.06,0.72,7.29,2.02
6,"41.338106425573905,19.79829868538484",724,226,26,2,13,366,21,4,0,2,45,19,31.22,3.59,0.28,1.8,50.55,2.9,0.55,0.0,0.28,6.22,2.62
7,"41.34132480887542,20.070668930347278",296,69,0,0,1,150,4,1,0,0,0,71,23.31,0.0,0.0,0.34,50.68,1.35,0.34,0.0,0.0,0.0,23.99
8,"41.32884918719742,19.82849422400696",1806,607,78,2,36,815,66,4,5,14,128,51,33.61,4.32,0.11,1.99,45.13,3.65,0.22,0.28,0.78,7.09,2.82
9,"41.35390260467086,19.851023297885952",343,109,8,0,3,171,4,0,2,0,15,31,31.78,2.33,0.0,0.87,49.85,1.17,0.0,0.58,0.0,4.37,9.04
10,"41.31301176033844,19.765597883531026",547,170,12,1,10,282,32,0,0,1,19,20,31.08,2.19,0.18,1.83,51.55,5.85,0.0,0.0,0.18,3.47,3.66
11,"41.334263354754654,19.85974345469594",478,73,9,1,6,278,16,0,0,0,12,83,15.27,1.88,0.21,1.26,58.16,3.35,0.0,0.0,0.0,2.51,17.36
12,"41.21775548997649,19.969805138534674",241,29,7,0,5,169,10,0,0,1,6,14,12.03,2.9,0.0,2.07,70.12,4.15,0.0,0.0,0.41,2.49,5.81
13,"41.326608207977685,19.797783397023345",2564,772,108,4,53,1240,127,11,4,11,155,79,30.11,4.21,0.16,2.07,48.36,4.95,0.43,0.16,0.43,6.05,3.08
14,"41.35033334285198,19.826784514221533",1546,668,28,2,17,614,44,0,2,5,99,67,43.21,1.81,0.13,1.1,39.72,2.85,0.0,0.13,0.32,6.4,4.33
15,"41.31950066929056,19.832505868186924",3413,1342,104,3,51,1477,124,11,1,15,199,86,39.32,3.05,0.09,1.49,43.28,3.63,0.32,0.03,0.44,5.83,2.52
16,"41.34090208811277,19.786910400729276",818,400,24,2,25,285,29,0,0,0,42,11,48.9,2.93,0.24,3.06,34.84,3.55,0.0,0.0,0.0,5.13,1.34
17,"41.33128204632195,19.831134479236173",2051,723,84,2,49,870,70,10,2,15,174,52,35.25,4.1,0.1,2.39,42.42,3.41,0.49,0.1,0.73,8.48,2.54
18,"41.32187057621054,19.825309300728446",504,186,24,0,12,220,4,1,1,8,38,10,36.9,4.76,0.0,2.38,43.65,0.79,0.2,0.2,1.59,7.54,1.98
19,"41.33120488716527,19.83938366210645",434,117,9,2,1,218,7,2,1,1,21,55,26.96,2.07,0.46,0.23,50.23,1.61,0.46,0.23,0.23,4.84,12.67
20,"41.338551926729686,19.80597513564625",2957,1045,94,5,48,1328,117,8,7,16,207,82,35.34,3.18,0.17,1.62,44.91,3.96,0.27,0.24,0.54,7.0,2.77
21,"41.34117166960108,19.79432177004055",1075,472,19,0,25,457,22,1,2,1,36,40,43.91,1.77,0.0,2.33,42.51,2.05,0.09,0.19,0.09,3.35,3.72
22,"41.33116460549364,19.839330017925963",4068,1215,129,7,83,1906,151,21,6,23,223,304,29.87,3.17,0.17,2.04,46.85,3.71,0.52,0.15,0.57,5.48,7.47
23,"41.34895838672484,19.84059473262672",869,400,12,0,24,351,27,0,0,2,26,27,46.03,1.38,0.0,2.76,40.39,3.11,0.0,0.0,0.23,2.99,3.11
24,"41.3374230386394,19.832760639351672",701,232,12,3,10,362,10,0,1,3,35,33,33.1,1.71,0.43,1.43,51.64,1.43,0.0,0.14,0.43,4.99,4.71
25,"41.323770700582074,19.809674043543293",1489,441,67,1,23,707,61,1,6,8,125,49,29.62,4.5,0.07,1.54,47.48,4.1,0.07,0.4,0.54,8.39,3.29
26,"41.331108211111506,19.83929783141767",1817,613,78,2,16,759,80,6,0,7,148,108,33.74,4.29,0.11,0.88,41.77,4.4,0.33,0.0,0.39,8.15,5.94
27,"41.33830086106026,19.80199644440151",713,296,19,1,14,295,21,2,0,2,45,18,41.51,2.66,0.14,1.96,41.37,2.95,0.28,0.0,0.28,6.31,2.52
28,"41.322755648811345,19.80028634543204",3871,1184,170,2,41,1825,165,13,3,22,351,95,30.59,4.39,0.05,1.06,47.15,4.26,0.34,0.08,0.57,9.07,2.45
29,"41.319423847595694,19.79690693194013",894,315,38,1,10,428,33,0,2,2,51,14,35.23,4.25,0.11,1.12,47.87,3.69,0.0,0.22,0.22,5.7,1.57
30,"41.35979637310057,19.77795258215786",724,200,16,0,20,374,24,2,0,0,37,51,27.62,2.21,0.0,2.76,51.66,3.31,0.28,0.0,0.0,5.11,7.04
31,"41.3456666623681,19.835946368188115",1089,475,21,2,14,455,43,1,0,2,42,34,43.62,1.93,0.18,1.29,41.78,3.95,0.09,0.0,0.18,3.86,3.12
32,"41.3448777563064,19.83710701236862",527,135,12,1,7,304,23,0,0,2,23,20,25.62,2.28,0.19,1.33,57.69,4.36,0.0,0.0,0.38,4.36,3.8
33,"41.317333597947886,19.815618277792545",2143,598,105,5,34,1026,86,13,0,31,168,77,27.9,4.9,0.23,1.59,47.88,4.01,0.61,0.0,1.45,7.84,3.59
34,"41.324011344907525,19.83139381236762",3209,1041,142,4,45,1506,130,1,13,33,213,81,32.44,4.43,0.12,1.4,46.93,4.05,0.03,0.41,1.03,6.64,2.52
35,"41.335042093872964,19.819909853731474",1050,370,28,0,18,522,27,4,0,9,57,15,35.24,2.67,0.0,1.71,49.71,2.57,0.38,0.0,0.86,5.43,1.43
36,"41.31955620929523,19.85711291813247",939,349,39,1,12,418,26,3,4,7,52,28,37.17,4.15,0.11,1.28,44.52,2.77,0.32,0.43,0.75,5.54,2.98
37,"41.321926978588486,19.825159097023086",677,203,37,2,11,350,19,0,0,7,44,4,29.99,5.47,0.3,1.62,51.7,2.81,0.0,0.0,1.03,6.5,0.59
38,"41.32207807819627,19.829843197023063",1621,488,98,7,39,819,45,6,0,19,85,15,30.1,6.05,0.43,2.41,50.52,2.78,0.37,0.0,1.17,5.24,0.93
39,"41.32494774224665,19.83098272771209",738,191,50,0,1,404,19,3,0,4,50,16,25.88,6.78,0.0,0.14,54.74,2.57,0.41,0.0,0.54,6.78,2.17
40,"41.33921613467219,19.781812259635448",319,144,9,0,6,120,13,1,0,0,18,8,45.14,2.82,0.0,1.88,37.62,4.08,0.31,0.0,0.0,5.64,2.51
41,"41.32468518574623,19.815966656548134",1967,641,59,8,28,1013,56,7,1,13,99,42,32.59,3.0,0.41,1.42,51.5,2.85,0.36,0.05,0.66,5.03,2.14
42,"41.346154270169016,19.83814584305742",517,177,14,1,18,240,19,0,0,5,19,24,34.24,2.71,0.19,3.48,46.42,3.68,0.0,0.0,0.97,3.68,4.64
43,"41.316906449745346,19.802416583531173",7258,2117,294,10,108,3661,303,15,31,41,558,120,29.17,4.05,0.14,1.49,50.44,4.17,0.21,0.43,0.56,7.69,1.65
44,"41.34611076126924,19.783146870040845",777,373,6,0,8,315,21,0,1,1,39,13,48.01,0.77,0.0,1.03,40.54,2.7,0.0,0.13,0.13,5.02,1.67
45,"41.32862571786568,19.802051070040104",1094,390,39,0,18,517,37,4,0,5,62,22,35.65,3.56,0.0,1.65,47.26,3.38,0.37,0.0,0.46,5.67,2.01
46,"41.33309480066657,19.81890499702362",1308,419,64,3,22,623,34,0,1,23,90,29,32.03,4.89,0.23,1.68,47.63,2.6,0.0,0.08,1.76,6.88,2.22
47,"41.34816463085902,19.836698717210528",375,106,8,0,4,192,10,0,1,1,20,33,28.27,2.13,0.0,1.07,51.2,2.67,0.0,0.27,0.27,5.33,8.8
48,"41.30090693267829,19.86492381236657",782,426,6,1,10,271,14,2,0,7,24,21,54.48,0.77,0.13,1.28,34.65,1.79,0.26,0.0,0.9,3.07,2.69
49,"41.319831999548335,19.8163724835313",799,247,27,0,15,389,21,10,0,4,62,24,30.91,3.38,0.0,1.88,48.69,2.63,1.25,0.0,0.5,7.76,3.0
50,"41.324772156906214,19.803370156548183",615,225,33,0,10,240,23,4,0,3,66,11,36.59,5.37,0.0,1.63,39.02,3.74,0.65,0.0,0.49,10.73,1.79
51,"41.1807142182885,19.838200760246945",285,73,15,0,8,165,13,0,0,0,11,0,25.61,5.26,0.0,2.81,57.89,4.56,0.0,0.0,0.0,3.86,0.0
52,"41.322441619816274,19.825045714220217",715,303,20,0,10,307,17,1,0,8,37,12,42.38,2.8,0.0,1.4,42.94,2.38,0.14,0.0,1.12,5.17,1.68
53,"41.32697933797586,19.77118629702335",1153,284,56,2,15,605,69,2,0,6,87,27,24.63,4.86,0.17,1.3,52.47,5.98,0.17,0.0,0.52,7.55,2.34
54,"41.339565888098704,19.844689744909804",2253,635,52,4,31,1152,98,7,0,6,117,151,28.18,2.31,0.18,1.38,51.13,4.35,0.31,0.0,0.27,5.19,6.7
55,"41.33437493913056,19.822003340681217",621,199,25,2,5,310,18,2,1,6,39,14,32.05,4.03,0.32,0.81,49.92,2.9,0.32,0.16,0.97,6.28,2.25
56,"41.312040623750136,19.76938885767417",263,90,7,1,2,128,11,1,0,0,16,7,34.22,2.66,0.38,0.76,48.67,4.18,0.38,0.0,0.0,6.08,2.66
57,"41.34959089879318,19.844615327742112",273,98,4,0,5,124,5,2,0,0,12,23,35.9,1.47,0.0,1.83,45.42,1.83,0.73,0.0,0.0,4.4,8.42
58,"41.316825133705066,19.813177660253146",2730,795,126,7,36,1368,104,7,2,17,208,60,29.12,4.62,0.26,1.32,50.11,3.81,0.26,0.07,0.62,7.62,2.2
59,"41.33358677255007,19.865740170040258",2588,902,43,2,35,1251,66,4,4,6,107,168,34.85,1.66,0.08,1.35,48.34,2.55,0.15,0.15,0.23,4.13,6.49
60,"41.223677141057394,19.83603570198673",379,150,0,0,0,211,0,0,0,0,5,13,39.58,0.0,0.0,0.0,55.67,0.0,0.0,0.0,0.0,1.32,3.43
61,"41.32101853529158,19.804774900990008",2422,728,105,8,15,1211,94,12,6,12,184,47,30.06,4.34,0.33,0.62,50.0,3.88,0.5,0.25,0.5,7.6,1.94
62,"41.32747134279008,19.802770614763094",6132,1979,270,17,127,2796,211,17,3,33,510,169,32.27,4.4,0.28,2.07,45.6,3.44,0.28,0.05,0.54,8.32,2.76
63,"41.32818901059106,19.825107373888127",1466,459,55,2,17,718,53,3,8,22,100,29,31.31,3.75,0.14,1.16,48.98,3.62,0.2,0.55,1.5,6.82,1.98
64,"41.34236009112237,19.832905358663115",491,159,8,0,14,245,18,3,0,1,28,15,32.38,1.63,0.0,2.85,49.9,3.67,0.61,0.0,0.2,5.7,3.05
65,"41.33591727689404,19.78837149887641",3240,1298,105,8,64,1312,141,11,9,13,191,88,40.06,3.24,0.25,1.98,40.49,4.35,0.34,0.28,0.4,5.9,2.72
66,"41.334263354754654,19.860344269517373",1873,630,40,5,17,956,59,4,0,5,57,100,33.64,2.14,0.27,0.91,51.04,3.15,0.21,0.0,0.27,3.04,5.34
67,"41.32183114879802,19.739184265811357",292,99,7,1,16,135,4,0,0,1,11,18,33.9,2.4,0.34,5.48,46.23,1.37,0.0,0.0,0.34,3.77,6.16
68,"41.32097323537548,19.812088582485494",3310,1009,167,8,40,1635,104,12,7,38,237,53,30.48,5.05,0.24,1.21,49.4,3.14,0.36,0.21,1.15,7.16,1.6
69,"41.328532121354826,19.83242639279516",242,75,13,0,5,116,8,0,0,2,9,14,30.99,5.37,0.0,2.07,47.93,3.31,0.0,0.0,0.83,3.72,5.79
70,"41.32507285598724,19.808648412367674",1255,437,49,8,23,556,45,8,3,4,87,35,34.82,3.9,0.64,1.83,44.3,3.59,0.64,0.24,0.32,6.93,2.79
71,"41.39721878280215,19.776331354902506",1150,459,13,0,23,590,26,0,5,2,22,10,39.91,1.13,0.0,2.0,51.3,2.26,0.0,0.43,0.17,1.91,0.87
72,"41.30285995972829,19.843815966844556",2804,822,59,2,83,1582,78,5,0,6,90,77,29.32,2.1,0.07,2.96,56.42,2.78,0.18,0.0,0.21,3.21,2.75
73,"41.32011629534405,19.79358740763239",950,300,39,2,13,485,35,1,0,5,44,26,31.58,4.11,0.21,1.37,51.05,3.68,0.11,0.0,0.53,4.63,2.74
74,"41.34834220647953,19.746991270294053",688,247,9,2,18,346,21,3,0,1,28,13,35.9,1.31,0.29,2.62,50.29,3.05,0.44,0.0,0.15,4.07,1.89
75,"41.27770038213241,19.717422068301534",1165,323,19,2,174,567,21,1,0,1,30,27,27.73,1.63,0.17,14.94,48.67,1.8,0.09,0.0,0.09,2.58,2.32
76,"41.34636796063283,19.823399967665246",2312,1015,42,5,130,847,80,3,6,2,110,72,43.9,1.82,0.22,5.62,36.63,3.46,0.13,0.26,0.09,4.76,3.11
77,"41.31305069463401,19.766161365811012",1373,355,24,2,16,811,41,5,1,3,70,45,25.86,1.75,0.15,1.17,59.07,2.99,0.36,0.07,0.22,5.1,3.28
78,"41.32033985969746,19.783092929564553",2154,547,69,1,29,1247,74,13,0,7,136,31,25.39,3.2,0.05,1.35,57.89,3.44,0.6,0.0,0.32,6.31,1.44
79,"41.312795796136044,19.808949346890262",4806,1385,225,11,63,2306,227,12,2,22,417,136,28.82,4.68,0.23,1.31,47.98,4.72,0.25,0.04,0.46,8.68,2.83
