ID,Coordinates,PS minus PD 2023 (%),PS minus PD 2025 (%),Partite e reja 2025 (%)
1,"41.349075556228485,19.744852484429643",19.11,19.3,4.74
2,"41.31712098674056,19.788979160315268",29.19,25.67,7.31
3,"41.35017241324126,19.86288566818832",15.92,16.2,14.03
4,"41.33217435197746,19.817187783531875",9.19,-15.4,4.69
5,"41.32651076668575,19.81167074305652",8.92,11.39,14.43
6,"41.338106425573905,19.79829868538484",15.34,19.33,12.71
7,"41.34132480887542,20.070668930347278",41.69,27.37,1.35
8,"41.32884918719742,19.82849422400696",2.82,11.52,15.06
9,"41.35390260467086,19.851023297885952",28.41,18.07,7.87
10,"41.31301176033844,19.765597883531026",14.11,20.47,11.51
11,"41.334263354754654,19.85974345469594",43.76,42.89,7.74
12,"41.21775548997649,19.969805138534674",57.27,58.09,9.54
13,"41.326608207977685,19.797783397023345",23.57,18.25,15.21
14,"41.35033334285198,19.826784514221533",8.59,-3.49,11.06
15,"41.31950066929056,19.832505868186924",1.12,3.96,12.51
16,"41.34090208811277,19.786910400729276",-3.24,-14.06,11.61
17,"41.33128204632195,19.831134479236173",6.86,7.17,15.99
18,"41.32187057621054,19.825309300728446",1.46,6.75,13.09
19,"41.33120488716527,19.83938366210645",26.92,23.27,8.52
20,"41.338551926729686,19.80597513564625",2.27,9.57,14.14
21,"41.34117166960108,19.79432177004055",0.32,-1.4,7.17
22,"41.33116460549364,19.839330017925963",19.67,16.98,12.36
23,"41.34895838672484,19.84059473262672",7.39,-5.64,7.48
24,"41.3374230386394,19.832760639351672",26.13,18.54,8.13
25,"41.323770700582074,19.809674043543293",11.54,17.86,16.99
26,"41.331108211111506,19.83929783141767",6.31,8.03,16.84
27,"41.33830086106026,19.80199644440151",11.38,-0.14,11.92
28,"41.322755648811345,19.80028634543204",18.82,16.56,17.72
29,"41.319423847595694,19.79690693194013",17.01,12.64,13.64
30,"41.35979637310057,19.77795258215786",42.34,24.04,10.63
31,"41.3456666623681,19.835946368188115",-0.8,-1.84,9.74
32,"41.3448777563064,19.83710701236862",40.35,32.07,11.0
33,"41.317333597947886,19.815618277792545",18.03,19.98,16.75
34,"41.324011344907525,19.83139381236762",14.96,14.49,15.12
35,"41.335042093872964,19.819909853731474",11.97,14.47,10.67
36,"41.31955620929523,19.85711291813247",5.56,7.35,12.46
37,"41.321926978588486,19.825159097023086",20.63,21.71,14.78
38,"41.32207807819627,19.829843197023063",14.54,20.42,14.07
39,"41.32494774224665,19.83098272771209",28.28,28.86,16.13
40,"41.33921613467219,19.781812259635448",-10.61,-7.52,12.54
41,"41.32468518574623,19.815966656548134",15.75,18.91,10.88
42,"41.346154270169016,19.83814584305742",19.72,12.18,10.07
43,"41.316906449745346,19.802416583531173",18.38,21.27,15.91
44,"41.34611076126924,19.783146870040845",-0.45,-7.47,8.49
45,"41.32862571786568,19.802051070040104",15.47,11.61,12.61
46,"41.33309480066657,19.81890499702362",20.37,15.6,14.37
47,"41.34816463085902,19.836698717210528",34.77,22.93,10.13
48,"41.30090693267829,19.86492381236657",14.57,-19.83,5.63
49,"41.319831999548335,19.8163724835313",17.16,17.78,13.77
50,"41.324772156906214,19.803370156548183",2.86,2.43,19.84
51,"41.1807142182885,19.838200760246945",31.39,32.28,13.68
52,"41.322441619816274,19.825045714220217",-5.22,0.56,10.35
53,"41.32697933797586,19.77118629702335",29.02,27.84,18.39
54,"41.339565888098704,19.844689744909804",25.83,22.95,11.85
55,"41.33437493913056,19.822003340681217",26.35,17.87,13.21
56,"41.312040623750136,19.76938885767417",17.65,14.45,12.92
57,"41.34959089879318,19.844615327742112",35.0,9.52,7.7
58,"41.316825133705066,19.813177660253146",15.93,20.99,16.05
59,"41.33358677255007,19.865740170040258",21.98,13.49,8.34
60,"41.223677141057394,19.83603570198673",42.62,16.09,1.32
61,"41.32101853529158,19.804774900990008",22.02,19.94,15.82
62,"41.32747134279008,19.802770614763094",12.94,13.33,16.16
63,"41.32818901059106,19.825107373888127",17.13,17.67,14.19
64,"41.34236009112237,19.832905358663115",23.22,17.52,11.0
65,"41.33591727689404,19.78837149887641",2.5,0.43,13.49
66,"41.334263354754654,19.860344269517373",25.84,17.4,8.33
67,"41.32183114879802,19.739184265811357",26.98,12.33,7.54
68,"41.32097323537548,19.812088582485494",14.67,18.92,15.35
69,"41.328532121354826,19.83242639279516",20.42,16.94,12.4
70,"41.32507285598724,19.808648412367674",9.86,9.48,14.42
71,"41.39721878280215,19.776331354902506",52.68,11.39,5.3
72,"41.30285995972829,19.843815966844556",34.5,27.1,8.09
73,"41.32011629534405,19.79358740763239",22.55,19.47,12.42
74,"41.34834220647953,19.746991270294053",6.1,14.39,8.43
75,"41.27770038213241,19.717422068301534",31.56,20.94,6.01
76,"41.34636796063283,19.823399967665246",-7.81,-7.27,10.04
77,"41.31305069463401,19.766161365811012",39.32,33.21,9.84
78,"41.32033985969746,19.783092929564553",32.44,32.5,12.95
79,"41.312795796136044,19.808949346890262",23.5,19.16,18.08
80,"41.23567798460245,19.928179092446694",65.3,61.03,5.96
81,"41.33959005398761,19.84483994861516",28.41,18.9,11.0
82,"41.31724898421072,19.81635796025321",16.19,20.61,17.35
83,"41.32987727960411,19.81103919462909",19.05,21.09,13.47
84,"41.33258013519522,19.806406975278836",23.54,19.59,11.98
85,"41.26679219297633,19.793910648825666",33.34,38.86,4.05
86,"41.313191935595576,19.771594598875453",26.18,28.41,12.04
87,"41.331180718165285,19.839362204434256",11.27,5.38,12.25
88,"41.32413647644151,19.797176620676442",-0.89,-11.1,6.32
89,"41.336440140898205,19.830599627712594",19.45,11.51,8.87
90,"41.32350820125961,19.81002889300483",23.4,24.39,11.92
91,"41.314893763379494,19.770751181678435",24.04,15.8,10.37
92,"41.312955350245154,19.765544239350543",22.29,13.28,8.38
93,"41.357977544074046,19.762228012369164",22.71,12.75,8.29
94,"41.318833839343235,19.796730709991778",13.99,17.65,15.37
95,"41.36327671792997,19.7886488502026",31.75,20.86,9.67
96,"41.36172053620369,19.770611143741124",-15.8,-28.04,6.97
97,"41.338305048999665,19.802039633263778",7.66,2.56,13.53
98,"41.340488519975494,19.834999750467873",16.05,8.98,12.12
99,"41.33903975444982,19.89435202028567",14.63,7.35,5.29
100,"41.33948533507095,19.84462537189322",14.75,14.38,13.66
101,"41.32755995035617,19.829657108139482",30.18,20.92,12.41
102,"41.31931251667821,19.790898121630864",14.88,15.77,12.91
103,"41.33073515980906,19.82496349071045",8.29,10.08,14.53
104,"41.337977918824734,19.798305825764512",8.39,7.45,11.82
105,"41.3484865866919,19.83397017856977",36.45,35.06,10.56
