id,year,party,candidate,hexcode,logo_file,min_percentage,max_percentage
1,2023,Lëvizja Bashkë,Arlind Qori,#232929,src/assets/images/2023_1.png,0.4,9.88
2,2023,Fronti i Majtë,Marko Dajti,#f99ea3,,0.0,16.09
3,2023,"Partia Drejtësi, Integrim dhe Unitet",Lajla Pernaska,#b0b75e,,0.0,3.44
4,2023,Partia Socialiste e Shqipërisë,Erion Veliaj,#FF00FF,,34.52,88.4
5,2023,Bashkë Fitojmë,Belind Këlliçi,#09539c,,5.88,54.78
6,2023,Partia Demokratike,Roland Bejko,#57a9d4,,0.0,12.85
7,2025,Koalicioni Partia Demokratike,,#09539c,,9.65,58.67
8,2025,Lëvizja Bashkë,,#232929,,0.0,6.78
9,2025,Lëvizja Atdheu,,#D99FA6,,0.0,1.38
10,2025,Partia Koalicioni Euroatlantik,,#57a9d4,,0.0,26.84
11,2025,Partia Socialiste e Shqipërisë,,#FF00FF,,28.64,77.17
12,2025,Koalicioni Nisma Shqipëria Bëhet,,#F7ECD8,,0.0,5.98
13,2025,Partia Aleanca Kombëtare Shqiptare,,#F5EB36,,0.0,1.33
14,2025,Partia Aleanca Demokracia e Re,,#99DBF8,,0.0,0.9
15,2025,Koalicioni Djathtas për Zhvillim,,#3C315F,,0.0,2.06
16,2025,Partia Mundësia,,#F79E20,,0.0,10.73
17,2025,Partia Socialdemokrate,,#B04251,,0.0,44.72
18,2023-2025,Lëvizja Bashkë,,#232929,,,
19,2023-2025,Partia Demokratike / Partia Koalicioni Euroatlantik,,#57a9d4,,,
20,2023-2025,Partia Socialiste e Shqipërisë,,#FF00FF,,,
21,2023-2025,Bashkë Fitojmë / Koalicioni Partia Demokratike,,#09539c,,,
